Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_20_20260327231857.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_19_20260327221231.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_15_20260327210606.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_14_20260327195941.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_13_20260327185315.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_12_20260327174650.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_4_20260327164027.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_2_20260327153359.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_18_20260327120051.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_17_20260327105425.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_16_20260327094800.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_11_20260327062843.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_10_20260327052217.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_9_20260327041551.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_8_20260327030927.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_7_20260327020303.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_6_20260327005639.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_5_20260326235014.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_3_20260326224350.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_1_20260326203102.raw
O88485	DC1I1_MOUSE	Dync1i1	Cytoplasmic dynein 1 intermediate chain 1	23	19	4.59951e+07	2.33016e+07	3.08135e+07	3.39051e+07	2.26397e+07	1.94695e+07	4.02789e+07	7.52878e+07	7.06815e+06	9.69285e+06	7.66147e+06	1.14343e+07	6.1293e+06	1.16306e+07	6.77173e+06	2.75045e+06	4.76647e+06	2.52317e+06	5.96087e+06	1.44326e+07
O88487	DC1I2_MOUSE	Dync1i2	Cytoplasmic dynein 1 intermediate chain 2	16	16	1.4366e+07	1.31247e+07	1.56938e+07	1.29123e+07	8.11767e+06	7.75466e+06	2.41816e+07	5.26335e+07	2.52747e+06	3.00296e+06	2.87422e+06	4.93801e+06	2.66068e+06	4.54342e+06	4.45128e+06	1.54962e+06	2.87778e+06	2.43886e+06	3.2938e+06	6.80338e+06
O88491	NSD1_MOUSE	Nsd1	Histone-lysine N-methyltransferase, H3 lysine-36 specific	34	34	9.99046e+06	4.06557e+06	4.25151e+06	5.21567e+06	5.13379e+06	6.40368e+06	7.04312e+06	8.63871e+06	1.26693e+06	1.83264e+06	1.99216e+06	3.17325e+06	1.65768e+06	2.07957e+06	1.28134e+06	1.20389e+06	1.34245e+06	794673	2.54266e+06	2.12193e+06
O88492	PLIN4_MOUSE	Plin4	Perilipin-4	39	39	1.20307e+07	6.66366e+06	4.12536e+06	7.10904e+06	4.42724e+06	4.44031e+06	8.10484e+06	9.57464e+06	1.0759e+06	1.68738e+06	1.5244e+06	2.4824e+06	2.01347e+06	2.83293e+06	1.28128e+06	1.0439e+06	956976	2.48185e+06	1.84813e+06	2.90834e+06
O88502	PDE8A_MOUSE	Pde8a	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A	11	11	1.74571e+06	588170	428817	871237	251652	376762	490467	826308	138721	162335	160138	217918	223096	452208	113709			163154	106933	181363
O88507	CNTFR_MOUSE	Cntfr	Ciliary neurotrophic factor receptor subunit alpha	8	8	2.03023e+07	1.80089e+07	1.06653e+07	1.59547e+07	1.22262e+07	6.62726e+06	1.71293e+07	2.15457e+07	2.51044e+06	3.77747e+06	4.07473e+06	7.75943e+06	3.43545e+06	4.95302e+06	3.50334e+06	927550	1.43014e+06	2.33842e+06	4.8826e+06	3.4183e+06
O88508	DNM3A_MOUSE	Dnmt3a	DNA (cytosine-5)-methyltransferase 3A	3	3	246122	134742	136796	126432	150310	138577	288964	177314			70656	47459.5								50729.5
O88520	SHOC2_MOUSE	Shoc2	Leucine-rich repeat protein SHOC-2	17	17	3.23183e+07	1.02864e+07	7.79469e+06	1.86376e+07	1.18526e+07	8.98535e+06	9.58189e+06	1.27175e+07	4.44744e+06	4.63303e+06	5.81014e+06	3.73135e+06	1.96937e+06	5.03233e+06	1.29154e+06	533110	1.15342e+06	1.43129e+06	1.54803e+06	1.53705e+06
O88522	NEMO_MOUSE	Ikbkg	NF-kappa-B essential modulator	13	13	1.7852e+06	1.02242e+06	1.90208e+06	1.28738e+06	951188	594666	2.77084e+06	5.76949e+06	303058	308185	342564	541906	279646	480809	380717	308813	597438	378723	1.15504e+06	802126
O88531	PPT1_MOUSE	Ppt1	Palmitoyl-protein thioesterase 1	19	19	1.49865e+08	5.04467e+07	8.74615e+07	6.55784e+07	4.28271e+07	3.56999e+07	9.26367e+07	1.38555e+08	3.96094e+06	1.19858e+07	9.16968e+06	1.12358e+07	5.71698e+06	8.50864e+06	8.62863e+06	2.18493e+06	6.51978e+06	9.46982e+06	2.53043e+07	1.56495e+07
