Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_01_20250302190913.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_02.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_03.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_19.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_20.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_21.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_22.raw
Q9WUK2-2	IF4H_MOUSE	Eif4h	Isoform Short of Eukaryotic translation initiation factor 4H	1	1	185576	213615	211673	137839	270430	211392	248105
Q9WUK4	RFC2_MOUSE	Rfc2	Replication factor C subunit 2	10	10	683118	867991	753726	588793	795276	864860	1.03E+06
Q9WUK6	ZBT18_MOUSE	Zbtb18	Zinc finger and BTB domain-containing protein 18	18	16	4.98E+06	5.92E+06	4.45E+06	4.02E+06	5.69E+06	5.22E+06	5.52E+06
Q9WUL7	ARL3_MOUSE	Arl3	ADP-ribosylation factor-like protein 3	15	15	4.13E+07	4.02E+07	4.04E+07	3.08E+07	4.18E+07	5.00E+07	4.65E+07
Q9WUM3	COR1B_MOUSE	Coro1b	Coronin-1B	25	25	4.63E+07	4.62E+07	4.37E+07	3.27E+07	4.68E+07	4.97E+07	4.62E+07
Q9WUM4	COR1C_MOUSE	Coro1c	Coronin-1C	32	30	1.06E+08	1.09E+08	1.02E+08	8.72E+07	1.19E+08	1.26E+08	1.20E+08
Q9WUM5	SUCA_MOUSE	Suclg1	"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial"	16	16	3.74E+08	3.61E+08	3.63E+08	2.61E+08	3.65E+08	3.97E+08	4.09E+08
Q9WUN2	TBK1_MOUSE	Tbk1	Serine/threonine-protein kinase TBK1	29	29	8.55E+06	8.08E+06	8.00E+06	5.35E+06	8.53E+06	9.29E+06	8.68E+06
Q9WUP4	PORED_MOUSE	Srd5a3	Polyprenol reductase	3	3	1.83E+06	2.19E+06	2.33E+06	1.63E+06	2.61E+06	2.67E+06	2.81E+06
Q9WUP7	UCHL5_MOUSE	Uchl5	Ubiquitin carboxyl-terminal hydrolase isozyme L5	18	18	1.76E+08	1.72E+08	1.68E+08	1.19E+08	1.78E+08	1.81E+08	1.86E+08
Q9WUQ2	PREB_MOUSE	Preb	Prolactin regulatory element-binding protein	15	15	1.13E+07	1.14E+07	1.17E+07	8.39E+06	1.25E+07	1.35E+07	1.32E+07
Q9WUQ5	CXL14_MOUSE	Cxcl14	C-X-C motif chemokine 14	3	3	445990	387903	280311	270308	390624	345390	269916
Q9WUR2;Q9WUR2-2	ECI2_MOUSE	Eci2	Enoyl-CoA delta isomerase 2	17	14	1.43E+07	1.51E+07	1.40E+07	1.05E+07	1.59E+07	1.65E+07	1.59E+07
Q9WUR9	KAD4_MOUSE	Ak4	"Adenylate kinase 4, mitochondrial"	13	13	1.04E+08	1.36E+08	1.34E+08	9.51E+07	1.40E+08	1.45E+08	1.53E+08
Q9WUT3	KS6A2_MOUSE	Rps6ka2	Ribosomal protein S6 kinase alpha-2	40	25	6.08E+06	7.77E+06	7.72E+06	4.41E+06	8.24E+06	9.25E+06	1.01E+07
Q9WUU7	CATZ_MOUSE	Ctsz	Cathepsin Z	10	10	3.46E+06	3.45E+06	3.39E+06	2.43E+06	3.85E+06	4.53E+06	4.61E+06
Q9WUU8-3	TNIP1_MOUSE	Tnip1	Isoform 3 of TNFAIP3-interacting protein 1	12	12	1.48E+06	1.62E+06	1.40E+06	877208	1.40E+06	1.55E+06	1.52E+06
Q9WUU9	GANP_MOUSE	Mcm3ap	Germinal-center associated nuclear protein	16	16	307009	284307	308222	231343	312010	360562	336677
