Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_01_20250302190913.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_02.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_03.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_19.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_20.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_21.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_22.raw
O55057	PDE6D_MOUSE	Pde6d	"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta"	4	4	7.75E+06	7.60E+06	7.09E+06	6.06E+06	8.81E+06	8.53E+06	8.50E+06
O55060	TPMT_MOUSE	Tpmt	Thiopurine S-methyltransferase	18	18	1.02E+07	8.73E+06	9.69E+06	6.23E+06	9.64E+06	1.24E+07	1.08E+07
O55091	IMPCT_MOUSE	Impact	Protein IMPACT	19	19	2.49E+07	2.63E+07	2.70E+07	1.70E+07	2.81E+07	2.81E+07	2.93E+07
O55098	STK10_MOUSE	Stk10	Serine/threonine-protein kinase 10	5	5	230013	197003	223851	251147	241571	189262	264762
O55100-2;O55100	SNG1_MOUSE	Syngr1	Synaptogyrin-1	3	3	5.01E+08	4.30E+08	4.74E+08	3.26E+08	4.59E+08	4.80E+08	4.16E+08
O55101	SNG2_MOUSE	Syngr2	Synaptogyrin-2	1	1	133482	93072.7	78370.5	64914.3	123110	102062	135125
O55102	BL1S1_MOUSE	Bloc1s1	Biogenesis of lysosome-related organelles complex 1 subunit 1	3	3	501454	511943	509780	358795	598376	827007	872048
O55103	PRAX_MOUSE	Prx	Periaxin	7	7							
O55106	STRN_MOUSE	Strn	Striatin	43	41	1.89E+08	1.85E+08	1.80E+08	1.32E+08	1.94E+08	2.12E+08	1.99E+08
O55125	NIPS1_MOUSE	Nipsnap1	Protein NipSnap homolog 1	21	21	1.91E+08	2.20E+08	2.21E+08	1.51E+08	2.08E+08	2.30E+08	2.29E+08
O55126	NIPS2_MOUSE	Nipsnap2	Protein NipSnap homolog 2	20	20	9.65E+07	9.44E+07	9.30E+07	7.14E+07	9.95E+07	1.02E+08	1.02E+08
O55128	SAP18_MOUSE	Sap18	Histone deacetylase complex subunit SAP18	10	10	6.62E+06	6.27E+06	6.29E+06	4.90E+06	7.60E+06	7.98E+06	7.67E+06
O55131	SEPT7_MOUSE	Septin7	Septin-7	41	38	5.47E+08	4.99E+08	5.17E+08	3.33E+08	4.67E+08	5.75E+08	5.45E+08
O55135	IF6_MOUSE	Eif6	Eukaryotic translation initiation factor 6	8	8	8.76E+06	8.46E+06	8.09E+06	5.04E+06	7.70E+06	1.02E+07	9.57E+06
O55137	ACOT1_MOUSE	Acot1	Acyl-coenzyme A thioesterase 1	8	6	9.92E+06	1.17E+07	1.02E+07	9.72E+06	1.28E+07	1.34E+07	1.37E+07
O55142	RL35A_MOUSE	Rpl35a	60S ribosomal protein L35a	12	12	3.88E+07	3.85E+07	4.31E+07	2.83E+07	4.10E+07	3.87E+07	4.06E+07
O55143	AT2A2_MOUSE	Atp2a2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	66	46	2.39E+08	2.17E+08	2.18E+08	1.76E+08	2.38E+08	2.49E+08	2.34E+08
O55176	PJA1_MOUSE	Pja1	E3 ubiquitin-protein ligase Praja-1	22	19	7.23E+06	6.77E+06	7.23E+06	4.95E+06	8.05E+06	7.59E+06	7.53E+06
O55186	CD59A_MOUSE	Cd59a	CD59A glycoprotein	2	2	3.10E+06	2.38E+06	3.88E+06	1.77E+06	3.02E+06	4.41E+06	3.17E+06
O55187	CBX4_MOUSE	Cbx4	E3 SUMO-protein ligase CBX4	5	5	400558	244156	234596	254584	351838	443490	298602
O55192	SC6A2_MOUSE	Slc6a2	Sodium-dependent noradrenaline transporter	5	5	3.94E+06	3.51E+06	3.02E+06	2.87E+06	3.64E+06	3.86E+06	3.94E+06
O55201	SPT5H_MOUSE	Supt5h	Transcription elongation factor SPT5	43	43	8.31E+06	8.73E+06	8.19E+06	5.89E+06	9.43E+06	9.41E+06	8.89E+06
O55203	LDB2_MOUSE	Ldb2	LIM domain-binding protein 2	4	4	592358	645426	1.05E+06	415477	835477	916035	994516
O55222	ILK_MOUSE	Ilk	Integrin-linked protein kinase	23	23	2.72E+07	2.91E+07	2.68E+07	2.06E+07	3.23E+07	2.95E+07	3.22E+07
O55229	CHKB_MOUSE	Chkb	Choline/ethanolamine kinase	19	19	5.44E+06	5.44E+06	5.41E+06	3.84E+06	5.68E+06	6.24E+06	6.15E+06
O55234	PSB5_MOUSE	Psmb5	Proteasome subunit beta type-5	21	21	3.00E+08	2.95E+08	2.80E+08	2.11E+08	3.17E+08	3.02E+08	3.24E+08
O55236	MCE1_MOUSE	Rngtt	mRNA-capping enzyme	15	15	8.79E+06	8.20E+06	8.36E+06	5.97E+06	9.34E+06	1.07E+07	1.03E+07
O55240	RDH5_MOUSE	Rdh5	Retinol dehydrogenase 5	10	10					2.09E+06		475723
O55242	SGMR1_MOUSE	Sigmar1	Sigma non-opioid intracellular receptor 1	3	3	2.16E+06	1.55E+06	1.48E+06	988220	1.73E+06	1.78E+06	1.24E+06
O70133	DHX9_MOUSE	Dhx9	ATP-dependent RNA helicase A	57	57	3.64E+07	3.66E+07	3.58E+07	2.43E+07	3.95E+07	4.15E+07	3.92E+07
O70133-2	DHX9_MOUSE	Dhx9	Isoform 2 of ATP-dependent RNA helicase A	1	1	460842	569331	541240	336713	479972	532548	487370
O70139	IPKG_MOUSE	Pkig	cAMP-dependent protein kinase inhibitor gamma	1	1	107472	117078	78862.2	78186.2	90999.5	180454	285714
O70145	NCF2_MOUSE	Ncf2	Neutrophil cytosol factor 2	2	2	24576.6		33262.2	22194.2	26549.4	26386.4	13904.2
O70146	TESK1_MOUSE	Tesk1	Dual specificity testis-specific protein kinase 1	8	8	6.43E+06	5.99E+06	7.18E+06	4.62E+06	8.73E+06	8.61E+06	8.91E+06
O70152	DPM1_MOUSE	Dpm1	Dolichol-phosphate mannosyltransferase subunit 1	13	13	5.16E+06	5.12E+06	5.15E+06	3.39E+06	5.39E+06	5.50E+06	5.71E+06
O70161	PI51C_MOUSE	Pip5k1c	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	32	28	8.63E+07	8.84E+07	8.63E+07	6.45E+07	8.92E+07	9.34E+07	9.04E+07
O70161-2	PI51C_MOUSE	Pip5k1c	Isoform 2 of Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	2	2	2.75E+06	2.56E+06	2.58E+06	1.61E+06	2.41E+06	2.51E+06	2.67E+06
O70166	STMN3_MOUSE	Stmn3	Stathmin-3	13	12	1.15E+07	1.10E+07	1.16E+07	8.10E+06	1.10E+07	1.15E+07	1.23E+07
O70172	PI42A_MOUSE	Pip4k2a	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	16	16	6.11E+07	5.51E+07	5.33E+07	3.76E+07	5.52E+07	5.98E+07	5.78E+07
O70174	ACHA4_MOUSE	Chrna4	Neuronal acetylcholine receptor subunit alpha-4	9	9	1.29E+06	965421	1.15E+06	744116	1.12E+06	834393	1.01E+06
O70194	EIF3D_MOUSE	Eif3d	Eukaryotic translation initiation factor 3 subunit D	29	29	2.00E+07	1.93E+07	1.87E+07	1.37E+07	2.08E+07	2.16E+07	2.13E+07
O70200	AIF1_MOUSE	Aif1	Allograft inflammatory factor 1	5	5	2.27E+06	2.03E+06	2.69E+06	1.58E+06	2.01E+06	2.71E+06	2.60E+06
O70209	PDLI3_MOUSE	Pdlim3	PDZ and LIM domain protein 3	10	10	822590	972183	765387	522739	931643	1.10E+06	1.94E+06
O70228	ATP9A_MOUSE	Atp9a	Probable phospholipid-transporting ATPase IIA	31	25	1.00E+07	9.44E+06	9.74E+06	7.15E+06	9.68E+06	1.04E+07	1.06E+07
O70230-2;O70230;O70230-3	ZN143_MOUSE	Znf143	Zinc finger protein 143	3	3		305114					
O70250	PGAM2_MOUSE	Pgam2	Phosphoglycerate mutase 2	10	10	2.25E+07	2.86E+07	2.55E+07	2.18E+07	3.05E+07	3.53E+07	3.21E+07
O70251	EF1B_MOUSE	Eef1b	Elongation factor 1-beta	12	12	1.72E+08	1.57E+08	1.62E+08	1.12E+08	1.64E+08	1.75E+08	1.74E+08
O70252	HMOX2_MOUSE	Hmox2	Heme oxygenase 2	23	23	3.63E+07	3.51E+07	3.34E+07	2.66E+07	4.03E+07	4.03E+07	4.16E+07
O70258;O70258-2	SGCE_MOUSE	Sgce	Epsilon-sarcoglycan	6	6	1.06E+06	875068	1.12E+06	743616	764898	994991	1.02E+06
O70274	TP4A2_MOUSE	Ptp4a2	Protein tyrosine phosphatase type IVA 2	10	7	2.12E+07	2.14E+07	1.93E+07	1.37E+07	1.93E+07	2.44E+07	2.33E+07
O70279	ESS2_MOUSE	Ess2	Splicing factor ESS-2 homolog	6	6	2.77E+06	1.56E+06	1.57E+06	1.27E+06	1.90E+06	1.51E+06	1.76E+06
O70281	TPST1_MOUSE	Tpst1	Protein-tyrosine sulfotransferase 1	5	5	175950	240032	276601	159340	278427	211732	282179
O70293-2	GRK6_MOUSE	Grk6	Isoform GRK6B of G protein-coupled receptor kinase 6	22	18	1.23E+07	1.24E+07	1.22E+07	8.92E+06	1.27E+07	1.35E+07	1.29E+07
O70305	ATX2_MOUSE	Atxn2	Ataxin-2	35	35	2.28E+07	2.23E+07	2.23E+07	1.52E+07	2.32E+07	2.45E+07	2.37E+07
O70309	ITB5_MOUSE	Itgb5	Integrin beta-5	23	23	852091	815012	750702	537535	861757	1.03E+06	1.09E+06
O70310	NMT1_MOUSE	Nmt1	Glycylpeptide N-tetradecanoyltransferase 1	28	23	3.57E+07	3.64E+07	3.49E+07	2.80E+07	3.92E+07	4.16E+07	3.93E+07
O70311	NMT2_MOUSE	Nmt2	Glycylpeptide N-tetradecanoyltransferase 2	17	17	1.10E+07	9.82E+06	1.00E+07	7.05E+06	1.05E+07	1.04E+07	1.07E+07
O70318	E41L2_MOUSE	Epb41l2	Band 4.1-like protein 2	60	59	1.86E+08	1.81E+08	1.76E+08	1.24E+08	1.93E+08	1.94E+08	1.98E+08
O70324	MOT8_MOUSE	Slc16a2	Monocarboxylate transporter 8	2	2	251811	232334	229022	62767.4		183690	207616
O70325;O70325-2;O70325-3	GPX4_MOUSE	Gpx4	Phospholipid hydroperoxide glutathione peroxidase	12	12	6.25E+07	5.96E+07	5.87E+07	3.80E+07	5.94E+07	6.18E+07	6.00E+07
O70333	CRIPT_MOUSE	Cript	Cysteine-rich PDZ-binding protein	2	2	62519	98720.8	53379.2	32055.1	89298.6	113924	131712
O70340	NPTX2_MOUSE	Nptx2	Neuronal pentraxin-2	8	8	3.55E+06	2.85E+06	2.58E+06	1.52E+06	2.47E+06	3.16E+06	2.39E+06
O70342	NPY5R_MOUSE	Npy5r	Neuropeptide Y receptor type 5	4	4	419007	364568	396301	219954	332264	375867	280760
O70343-4	PRGC1_MOUSE	Ppargc1a	Isoform 4 of Peroxisome proliferator-activated receptor gamma coactivator 1-alpha	1	1							
O70348	DXO_MOUSE	Dxo	Decapping and exoribonuclease protein	6	6	150854	196588	214548	150127	176245	217661	273901
O70354	CAH11_MOUSE	Ca11	Carbonic anhydrase-related protein 11	4	4	1.43E+06	1.23E+06	1.68E+06	820755	1.16E+06	1.35E+06	1.31E+06
O70362	PHLD_MOUSE	Gpld1	Phosphatidylinositol-glycan-specific phospholipase D	18	18	2.11E+07	1.85E+07	1.87E+07	1.20E+07	1.86E+07	2.03E+07	2.67E+07
O70370	CATS_MOUSE	Ctss	Cathepsin S	9	9	4.31E+06	4.26E+06	3.79E+06	3.82E+06	4.59E+06	4.58E+06	5.16E+06
O70374	MTG8R_MOUSE	Cbfa2t2	Protein CBFA2T2	3	1	35492.7	31179.4	37282.8	15565.6	28296.6	39336.4	42755.6
O70378	EMC8_MOUSE	Emc8	ER membrane protein complex subunit 8	10	10	7.78E+06	7.89E+06	7.55E+06	5.46E+06	7.43E+06	8.71E+06	8.54E+06
O70400	PDLI1_MOUSE	Pdlim1	PDZ and LIM domain protein 1	17	17	1.02E+08	9.99E+07	9.93E+07	7.11E+07	1.11E+08	1.27E+08	1.37E+08
O70401	TSN6_MOUSE	Tspan6	Tetraspanin-6	5	5	6.57E+07	5.96E+07	6.99E+07	3.37E+07	4.86E+07	6.89E+07	8.58E+07
O70404	VAMP8_MOUSE	Vamp8	Vesicle-associated membrane protein 8	4	4	615788	947759	554986	624787	1.00E+06	837841	918282
O70405	ULK1_MOUSE	Ulk1	Serine/threonine-protein kinase ULK1	21	21	445556	346817	366886	293017	380009	438122	447017
O70421	FZD1_MOUSE	Fzd1	Frizzled-1	3	3	250594	258676	340308	112524	229532	294401	347306
O70422	TF2H4_MOUSE	Gtf2h4	General transcription factor IIH subunit 4	9	9	526715	544752	590452	371890	597407	577029	497464
O70423	AOC3_MOUSE	Aoc3	Membrane primary amine oxidase	15	12	3.18E+06	2.49E+06	2.50E+06	2.05E+06	3.44E+06	2.80E+06	5.36E+06
O70433	FHL2_MOUSE	Fhl2	Four and a half LIM domains protein 2	21	21	1.89E+08	1.63E+08	1.54E+08	1.05E+08	1.40E+08	1.63E+08	1.87E+08
O70435	PSA3_MOUSE	Psma3	Proteasome subunit alpha type-3	15	15	1.22E+08	1.23E+08	1.17E+08	8.78E+07	1.31E+08	1.26E+08	1.28E+08
O70439	STX7_MOUSE	Stx7	Syntaxin-7	9	9	3.09E+07	3.12E+07	3.21E+07	2.20E+07	3.19E+07	3.53E+07	3.63E+07
O70443	GNAZ_MOUSE	Gnaz	Guanine nucleotide-binding protein G(z) subunit alpha	20	20	5.72E+07	5.68E+07	5.56E+07	4.09E+07	5.68E+07	6.05E+07	5.97E+07
O70451	MOT2_MOUSE	Slc16a7	Monocarboxylate transporter 2	7	7	669628	582328	664402	581286	618879	804572	672307
O70458;O70458-2	OSMR_MOUSE	Osmr	Oncostatin-M-specific receptor subunit beta	9	9	2.55E+06	3.31E+06	3.13E+06	2.48E+06	3.16E+06	3.49E+06	3.22E+06
O70472	TM131_MOUSE	Tmem131	Transmembrane protein 131	7	7	155087	91972.5	87545.9	68979.7	88890.3	101935	120173
O70475	UGDH_MOUSE	Ugdh	UDP-glucose 6-dehydrogenase	13	13	4.14E+06	4.34E+06	4.62E+06	3.37E+06	5.23E+06	5.37E+06	5.30E+06
O70479	BACD2_MOUSE	Tnfaip1	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2	2	2	16784.7	12041.9	21816.5	8292.88			
O70480	VAMP4_MOUSE	Vamp4	Vesicle-associated membrane protein 4	7	7	5.05E+06	5.13E+06	5.47E+06	3.32E+06	5.68E+06	5.88E+06	6.28E+06
O70481	UBR1_MOUSE	Ubr1	E3 ubiquitin-protein ligase UBR1	55	55	1.77E+07	1.92E+07	1.81E+07	1.34E+07	2.16E+07	2.19E+07	2.08E+07
O70491	STRA6_MOUSE	Stra6	Receptor for retinol uptake STRA6	4	4	874769	508832	420399		1.04E+06	681138	893658
O70492	SNX3_MOUSE	Snx3	Sorting nexin-3	12	10	5.65E+07	5.46E+07	5.21E+07	4.05E+07	5.87E+07	6.08E+07	6.32E+07
O70493	SNX12_MOUSE	Snx12	Sorting nexin-12	8	8	1.04E+08	1.00E+08	1.01E+08	7.22E+07	1.06E+08	1.17E+08	1.15E+08
O70494;O70494-2;O70494-3	SP3_MOUSE	Sp3	Transcription factor Sp3	7	7	1.74E+06	1.87E+06	1.53E+06	1.32E+06	2.31E+06	2.27E+06	2.19E+06
O70496	CLCN7_MOUSE	Clcn7	H(+)/Cl(-) exchange transporter 7	12	12	5.42E+06	4.90E+06	5.52E+06	3.38E+06	5.38E+06	6.13E+06	5.83E+06
O70503	DHB12_MOUSE	Hsd17b12	Very-long-chain 3-oxoacyl-CoA reductase	20	20	2.80E+07	2.82E+07	2.85E+07	2.19E+07	3.12E+07	3.06E+07	3.14E+07
O70507	HCN4_MOUSE	Hcn4	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4	7	7	100484	72008.5	76762	43663.2	104943	93186.2	85012.1
O70546;O70546-2	KDM6A_MOUSE	Kdm6a	Lysine-specific demethylase 6A	10	9	87357.7	86721.8	109420	72332.3	96216.9	139302	99925.6
O70551	SRPK1_MOUSE	Srpk1	SRSF protein kinase 1	14	14	2.18E+06	2.10E+06	2.18E+06	1.55E+06	2.39E+06	2.34E+06	2.27E+06
O70566	DIAP2_MOUSE	Diaph2	Protein diaphanous homolog 2	38	38	5.57E+07	6.32E+07	5.64E+07	4.32E+07	6.43E+07	6.20E+07	6.79E+07
O70572	NSMA_MOUSE	Smpd2	Sphingomyelin phosphodiesterase 2	18	18	1.88E+06	1.97E+06	1.87E+06	1.37E+06	2.18E+06	2.30E+06	1.95E+06
O70579	PM34_MOUSE	Slc25a17	Peroxisomal membrane protein PMP34	5	5	1.90E+06	1.31E+06	1.24E+06	1.02E+06	1.52E+06	1.73E+06	1.16E+06
O70583;O70583-2;O70583-3	TRI18_MOUSE	Mid1	E3 ubiquitin-protein ligase Midline-1	8	8	2.05E+06	1.79E+06	1.68E+06	1.20E+06	3.08E+06	2.90E+06	1.71E+06
O70585	DTNB_MOUSE	Dtnb	Dystrobrevin beta	19	19	5.47E+06	5.19E+06	5.48E+06	3.93E+06	6.20E+06	5.59E+06	5.76E+06
O70589	CSKP_MOUSE	Cask	Peripheral plasma membrane protein CASK	51	51	2.99E+07	3.06E+07	3.10E+07	2.07E+07	3.14E+07	3.32E+07	3.31E+07
O70589-3	CSKP_MOUSE	Cask	Isoform 3 of Peripheral plasma membrane protein CASK	1	1	139644	234869	231187	153091	206553	212623	233531
O70591	PFD2_MOUSE	Pfdn2	Prefoldin subunit 2	9	9	2.63E+07	2.95E+07	2.72E+07	2.11E+07	3.18E+07	3.16E+07	3.22E+07
O70622	RTN2_MOUSE	Rtn2	Reticulon-2	7	7	9.33E+06	7.11E+06	7.12E+06	6.31E+06	8.32E+06	8.64E+06	8.31E+06
O70622-2	RTN2_MOUSE	Rtn2	Isoform 2 of Reticulon-2	1	1		5.00E+06		5.24E+06	9.23E+06	5.52E+06	6.72E+06
O70624	MYOC_MOUSE	Myoc	Myocilin	3	3	6041.26	6147.79		4512.29		10227.4	15668.2
O70628	PDE9A_MOUSE	Pde9a	"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A"	9	9	729675	616518	632422	471739	759381	650846	647412
O88196	TTC3_MOUSE	Ttc3	E3 ubiquitin-protein ligase TTC3	44	44	8.23E+06	9.08E+06	9.15E+06	5.30E+06	8.85E+06	9.27E+06	9.72E+06
O88271	CFDP1_MOUSE	Cfdp1	Craniofacial development protein 1	14	14	8.33E+06	7.11E+06	7.81E+06	5.05E+06	7.65E+06	8.52E+06	7.93E+06
O88286-3	WIZ_MOUSE	Wiz	Isoform 2 of Protein Wiz	15	15	1.47E+06	1.58E+06	1.39E+06	1.11E+06	1.69E+06	1.58E+06	1.75E+06
O88291	ZN326_MOUSE	Znf326	DBIRD complex subunit ZNF326	22	22	2.65E+07	2.48E+07	2.80E+07	1.69E+07	2.33E+07	2.60E+07	2.50E+07
O88307	SORL_MOUSE	Sorl1	Sortilin-related receptor	70	70	6.70E+06	6.75E+06	6.45E+06	4.83E+06	6.94E+06	7.22E+06	6.86E+06
O88319	NTR1_MOUSE	Ntsr1	Neurotensin receptor type 1	3	3	305613	306528	390124		238809	212411	275293
O88322	NID2_MOUSE	Nid2	Nidogen-2	43	43	5.30E+07	4.49E+07	4.74E+07	4.39E+07	6.20E+07	5.92E+07	5.81E+07
O88324	CD83_MOUSE	Cd83	CD83 antigen	1	1	21603				13491.2	20769.3	
O88327	CTNL1_MOUSE	Ctnnal1	Alpha-catulin	10	10	252118	305666	222437	166222	381340	287972	263842
O88342	WDR1_MOUSE	Wdr1	WD repeat-containing protein 1	41	41	3.67E+08	3.82E+08	3.71E+08	2.89E+08	4.08E+08	4.17E+08	4.12E+08
O88343	S4A4_MOUSE	Slc4a4	Electrogenic sodium bicarbonate cotransporter 1	38	37	1.29E+08	1.23E+08	1.22E+08	8.36E+07	1.28E+08	1.42E+08	1.37E+08
O88351	IKKB_MOUSE	Ikbkb	Inhibitor of nuclear factor kappa-B kinase subunit beta	28	28	2.02E+07	2.17E+07	2.06E+07	1.36E+07	2.25E+07	2.09E+07	2.27E+07
O88384	VTI1B_MOUSE	Vti1b	Vesicle transport through interaction with t-SNAREs homolog 1B	11	11	8.89E+06	8.43E+06	8.78E+06	6.60E+06	9.16E+06	9.49E+06	9.88E+06
O88393	TGBR3_MOUSE	Tgfbr3	Transforming growth factor beta receptor type 3	5	5	2.58E+06	2.52E+06	1.88E+06	1.36E+06	2.06E+06	2.86E+06	2.97E+06
O88413	TULP3_MOUSE	Tulp3	Tubby-related protein 3	12	12	1.01E+06	1.23E+06	890880	819638	1.39E+06	1.11E+06	1.11E+06
O88425	NDK6_MOUSE	Nme6	Nucleoside diphosphate kinase 6	1	1		44334.8		34957.1			
O88427;O88427-2	CAC1H_MOUSE	Cacna1h	Voltage-dependent T-type calcium channel subunit alpha-1H	20	20	670577	856392	710529	616542	845591	925399	963594
O88428	PAPS2_MOUSE	Papss2	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2	25	25	3.42E+07	3.13E+07	3.08E+07	2.31E+07	3.32E+07	3.67E+07	3.59E+07
O88441	MTX2_MOUSE	Mtx2	Metaxin-2	11	11	4.01E+07	4.14E+07	4.14E+07	2.91E+07	4.27E+07	4.55E+07	4.39E+07
O88444	ADCY1_MOUSE	Adcy1	Adenylate cyclase type 1	32	32	8.65E+08	7.72E+08	7.86E+08	6.95E+08	9.14E+08	8.93E+08	8.81E+08
O88447	KLC1_MOUSE	Klc1	Kinesin light chain 1	41	29	6.63E+07	6.35E+07	6.34E+07	4.30E+07	6.24E+07	7.22E+07	6.67E+07
O88448	KLC2_MOUSE	Klc2	Kinesin light chain 2	29	27	4.23E+07	4.15E+07	3.99E+07	2.86E+07	4.24E+07	4.13E+07	4.11E+07
O88454	KCNK4_MOUSE	Kcnk4	Potassium channel subfamily K member 4	2	2	3.45E+06	2.46E+06	3.07E+06	1.44E+06	3.03E+06	3.18E+06	3.16E+06
O88455	DHCR7_MOUSE	Dhcr7	7-dehydrocholesterol reductase	6	6	5.69E+06	5.93E+06	5.61E+06	4.26E+06	6.09E+06	6.52E+06	7.06E+06
O88456	CPNS1_MOUSE	Capns1	Calpain small subunit 1	13	11	2.41E+07	2.62E+07	2.39E+07	1.95E+07	2.94E+07	2.99E+07	2.93E+07
O88466	ZN106_MOUSE	Znf106	Zinc finger protein 106	7	7	831520	763914	646758			921305	606633
O88485	DC1I1_MOUSE	Dync1i1	Cytoplasmic dynein 1 intermediate chain 1	28	26	4.99E+07	5.22E+07	5.47E+07	4.19E+07	5.71E+07	5.72E+07	5.96E+07
O88487	DC1I2_MOUSE	Dync1i2	Cytoplasmic dynein 1 intermediate chain 2	25	25	2.23E+07	1.94E+07	2.01E+07	1.56E+07	2.26E+07	2.30E+07	2.31E+07
O88491	NSD1_MOUSE	Nsd1	"Histone-lysine N-methyltransferase, H3 lysine-36 specific"	17	17	885441	899661	881893	764186	1.02E+06	975474	1.10E+06
O88492	PLIN4_MOUSE	Plin4	Perilipin-4	24	24	7.85E+06	8.06E+06	5.37E+06	6.77E+06	1.15E+07	1.32E+07	1.31E+07
O88502	PDE8A_MOUSE	Pde8a	"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A"	30	30	3.30E+06	2.88E+06	2.54E+06	2.37E+06	3.38E+06	3.32E+06	3.02E+06
O88507	CNTFR_MOUSE	Cntfr	Ciliary neurotrophic factor receptor subunit alpha	12	12	2.58E+07	2.63E+07	2.52E+07	1.77E+07	2.77E+07	2.72E+07	2.73E+07
O88508	DNM3A_MOUSE	Dnmt3a	DNA (cytosine-5)-methyltransferase 3A	3	3	40541	59223.6	45312.9	48124.4	40435.8	58068.6	70753.5
O88520	SHOC2_MOUSE	Shoc2	Leucine-rich repeat protein SHOC-2	13	13	6.32E+06	6.67E+06	6.56E+06	4.22E+06	6.32E+06	6.83E+06	7.74E+06
O88522	NEMO_MOUSE	Ikbkg	NF-kappa-B essential modulator	15	15	1.92E+07	1.83E+07	2.08E+07	1.30E+07	2.27E+07	2.23E+07	2.26E+07
O88531	PPT1_MOUSE	Ppt1	Palmitoyl-protein thioesterase 1	12	12	5.42E+07	5.32E+07	5.61E+07	3.67E+07	5.25E+07	5.75E+07	7.13E+07
O88532	ZFR_MOUSE	Zfr	Zinc finger RNA-binding protein	50	50	5.15E+07	5.10E+07	5.13E+07	3.34E+07	5.20E+07	5.75E+07	5.45E+07
O88533	DDC_MOUSE	Ddc	Aromatic-L-amino-acid decarboxylase	18	18	1.15E+07	1.24E+07	1.13E+07	9.64E+06	1.49E+07	1.76E+07	1.79E+07
O88543	CSN3_MOUSE	Cops3	COP9 signalosome complex subunit 3	24	24	4.68E+07	4.67E+07	4.63E+07	3.33E+07	4.77E+07	5.11E+07	4.78E+07
O88544	CSN4_MOUSE	Cops4	COP9 signalosome complex subunit 4	29	29	4.50E+07	4.49E+07	4.42E+07	3.20E+07	4.78E+07	5.25E+07	5.36E+07
O88545	CSN6_MOUSE	Cops6	COP9 signalosome complex subunit 6	13	13	3.71E+07	3.74E+07	3.70E+07	2.56E+07	3.65E+07	4.11E+07	3.97E+07
O88551	CLD1_MOUSE	Cldn1	Claudin-1	1	1	413434	269840			262538		
O88552	CLD2_MOUSE	Cldn2	Claudin-2	1	1					443745		
O88554	PARP2_MOUSE	Parp2	Poly [ADP-ribose] polymerase 2	4	4	3.08E+06	3.78E+06	5.14E+06	2.81E+06	2.05E+06	4.17E+06	2.13E+06
O88559	MEN1_MOUSE	Men1	Menin	13	13	1.75E+06	2.06E+06	2.11E+06	1.31E+06	1.92E+06	2.08E+06	2.15E+06
O88561	S27A3_MOUSE	Slc27a3	Long-chain fatty acid transport protein 3	11	11	1.46E+06	1.87E+06	1.89E+06	1.31E+06	2.18E+06	2.26E+06	2.16E+06
O88569	ROA2_MOUSE	Hnrnpa2b1	Heterogeneous nuclear ribonucleoproteins A2/B1	42	41	4.26E+08	4.74E+08	4.63E+08	3.58E+08	5.06E+08	5.17E+08	5.16E+08
O88572	LRP6_MOUSE	Lrp6	Low-density lipoprotein receptor-related protein 6	4	4	81142	85836.4	57229.5	48463.8	54061.2	66007.5	65737.8
O88574	SAP30_MOUSE	Sap30	Histone deacetylase complex subunit SAP30	1	1		36045.2	22752.6	15268.3	32278.7	24663	32640.4
O88587;O88587-2	COMT_MOUSE	Comt	Catechol O-methyltransferase	18	18	1.59E+07	1.65E+07	1.70E+07	1.44E+07	2.08E+07	2.15E+07	2.18E+07
O88593	PGRP1_MOUSE	Pglyrp1	Peptidoglycan recognition protein 1	2	2		3817.75	11242.7	6900.36	6550.44	5577.14	12822.5
O88597	BECN1_MOUSE	Becn1	Beclin-1	21	21	9.54E+06	8.85E+06	8.29E+06	5.51E+06	9.20E+06	1.09E+07	8.53E+06
